Monat,Sparte,Tariflohnindex
2013-03-01,GEWERBE UND HANDWERK,121
2013-04-01,GEWERBE UND HANDWERK,121.1
2013-05-01,GEWERBE UND HANDWERK,122.2
2013-06-01,GEWERBE UND HANDWERK,122.2
2013-07-01,GEWERBE UND HANDWERK,122.2
2013-08-01,GEWERBE UND HANDWERK,122.2
2013-09-01,GEWERBE UND HANDWERK,122.2
2013-10-01,GEWERBE UND HANDWERK,122.3
2013-11-01,GEWERBE UND HANDWERK,122.3
2013-12-01,GEWERBE UND HANDWERK,122.3
2014-01-01,GEWERBE UND HANDWERK,124.4
2014-02-01,GEWERBE UND HANDWERK,124.4
2014-03-01,GEWERBE UND HANDWERK,124.4
2014-04-01,GEWERBE UND HANDWERK,124.4
2014-05-01,GEWERBE UND HANDWERK,125.3
2014-06-01,GEWERBE UND HANDWERK,125.3
2014-07-01,GEWERBE UND HANDWERK,125.4
2014-08-01,GEWERBE UND HANDWERK,125.4
2014-09-01,GEWERBE UND HANDWERK,125.4
2014-10-01,GEWERBE UND HANDWERK,125.4
2014-11-01,GEWERBE UND HANDWERK,125.4
2014-12-01,GEWERBE UND HANDWERK,125.4
2015-01-01,GEWERBE UND HANDWERK,127
2015-02-01,GEWERBE UND HANDWERK,127
2015-03-01,GEWERBE UND HANDWERK,127
2015-04-01,GEWERBE UND HANDWERK,127.1
2015-05-01,GEWERBE UND HANDWERK,127.9
2015-06-01,GEWERBE UND HANDWERK,127.9
2015-07-01,GEWERBE UND HANDWERK,127.9
2015-08-01,GEWERBE UND HANDWERK,127.9
2015-09-01,GEWERBE UND HANDWERK,127.9
2015-10-01,GEWERBE UND HANDWERK,128
2015-11-01,GEWERBE UND HANDWERK,128
2015-12-01,GEWERBE UND HANDWERK,128
2016-01-01,GEWERBE UND HANDWERK,129.1
2016-02-01,GEWERBE UND HANDWERK,129.1
2016-03-01,GEWERBE UND HANDWERK,129.1
2016-04-01,GEWERBE UND HANDWERK,129.2
2016-05-01,GEWERBE UND HANDWERK,129.9
2016-06-01,GEWERBE UND HANDWERK,129.9
2016-07-01,GEWERBE UND HANDWERK,129.9
2016-08-01,GEWERBE UND HANDWERK,129.9
2016-09-01,GEWERBE UND HANDWERK,129.9
2016-10-01,GEWERBE UND HANDWERK,130
2016-11-01,GEWERBE UND HANDWERK,130
2016-12-01,GEWERBE UND HANDWERK,130
2017-01-01,GEWERBE UND HANDWERK,131.22266666666667
2017-02-01,GEWERBE UND HANDWERK,131.22266666666667
2017-03-01,GEWERBE UND HANDWERK,131.22266666666667
2017-04-01,GEWERBE UND HANDWERK,131.22266666666667
2017-05-01,GEWERBE UND HANDWERK,131.87099999999998
2017-06-01,GEWERBE UND HANDWERK,131.87099999999998
2017-07-01,GEWERBE UND HANDWERK,131.87099999999998
2017-08-01,GEWERBE UND HANDWERK,131.87099999999998
2017-09-01,GEWERBE UND HANDWERK,131.87099999999998
2017-10-01,GEWERBE UND HANDWERK,132.00066666666666
2017-11-01,GEWERBE UND HANDWERK,132.00066666666666
2017-12-01,GEWERBE UND HANDWERK,132.00066666666666
2018-01-01,GEWERBE UND HANDWERK,134.33466666666666
2018-02-01,GEWERBE UND HANDWERK,134.33466666666666
2018-03-01,GEWERBE UND HANDWERK,134.33466666666666
2018-04-01,GEWERBE UND HANDWERK,134.33466666666666
2018-05-01,GEWERBE UND HANDWERK,135.37199999999999
2018-06-01,GEWERBE UND HANDWERK,135.37199999999999
2018-07-01,GEWERBE UND HANDWERK,135.50166666666667
2018-08-01,GEWERBE UND HANDWERK,135.50166666666667
2018-09-01,GEWERBE UND HANDWERK,135.50166666666667
2018-10-01,GEWERBE UND HANDWERK,135.63133333333332
2018-11-01,GEWERBE UND HANDWERK,135.63133333333332
2018-12-01,GEWERBE UND HANDWERK,135.63133333333332
2019-01-01,GEWERBE UND HANDWERK,138.35433333333333
2019-02-01,GEWERBE UND HANDWERK,138.35433333333333
2019-03-01,GEWERBE UND HANDWERK,138.35433333333333
2019-04-01,GEWERBE UND HANDWERK,138.48399999999998
2019-05-01,GEWERBE UND HANDWERK,139.65099999999998
2019-06-01,GEWERBE UND HANDWERK,139.65099999999998
2019-07-01,GEWERBE UND HANDWERK,139.78066666666666
2019-08-01,GEWERBE UND HANDWERK,139.78066666666666
2019-09-01,GEWERBE UND HANDWERK,139.78066666666666
2019-10-01,GEWERBE UND HANDWERK,139.78066666666666
2019-11-01,GEWERBE UND HANDWERK,139.91033333333334
2019-12-01,GEWERBE UND HANDWERK,139.91033333333334
2020-01-01,GEWERBE UND HANDWERK,141.98499999999999
2020-02-01,GEWERBE UND HANDWERK,142.11466666666666
2020-03-01,GEWERBE UND HANDWERK,142.11466666666666
2020-04-01,GEWERBE UND HANDWERK,142.11466666666666
2020-05-01,GEWERBE UND HANDWERK,143.152
2020-06-01,GEWERBE UND HANDWERK,143.152
2020-07-01,GEWERBE UND HANDWERK,143.28166666666667
2020-08-01,GEWERBE UND HANDWERK,143.28166666666667
2020-09-01,GEWERBE UND HANDWERK,143.28166666666667
2020-10-01,GEWERBE UND HANDWERK,143.28166666666667
2020-11-01,GEWERBE UND HANDWERK,143.28166666666667
2020-12-01,GEWERBE UND HANDWERK,143.28166666666667
2021-01-01,GEWERBE UND HANDWERK,144.70799999999997
2021-02-01,GEWERBE UND HANDWERK,144.70799999999997
2021-03-01,GEWERBE UND HANDWERK,144.83766666666668
2021-04-01,GEWERBE UND HANDWERK,144.83766666666668
2021-05-01,GEWERBE UND HANDWERK,145.61566666666667
2021-06-01,GEWERBE UND HANDWERK,145.61566666666667
2021-07-01,GEWERBE UND HANDWERK,145.74533333333332
2021-08-01,GEWERBE UND HANDWERK,145.74533333333332
2021-09-01,GEWERBE UND HANDWERK,145.74533333333332
2021-10-01,GEWERBE UND HANDWERK,145.87499999999997
2021-11-01,GEWERBE UND HANDWERK,145.87499999999997
2021-12-01,GEWERBE UND HANDWERK,145.87499999999997
2022-01-01,GEWERBE UND HANDWERK,148.85733333333332
2022-02-01,GEWERBE UND HANDWERK,148.85733333333332
2022-03-01,GEWERBE UND HANDWERK,148.85733333333332
2022-04-01,GEWERBE UND HANDWERK,148.987
2022-05-01,GEWERBE UND HANDWERK,150.8023333333333
2022-06-01,GEWERBE UND HANDWERK,150.8023333333333
2022-07-01,GEWERBE UND HANDWERK,150.932
2022-08-01,GEWERBE UND HANDWERK,150.932
2022-09-01,GEWERBE UND HANDWERK,150.932
2022-10-01,GEWERBE UND HANDWERK,151.19133333333332
2022-11-01,GEWERBE UND HANDWERK,151.19133333333332
2022-12-01,GEWERBE UND HANDWERK,151.321
2023-01-01,GEWERBE UND HANDWERK,158.5823333333333
2023-02-01,GEWERBE UND HANDWERK,158.712
2023-03-01,GEWERBE UND HANDWERK,158.712
2023-04-01,GEWERBE UND HANDWERK,159.101
2023-05-01,GEWERBE UND HANDWERK,163.25033333333332
2023-06-01,GEWERBE UND HANDWERK,163.25033333333332
2023-07-01,GEWERBE UND HANDWERK,163.50966666666665
2023-08-01,GEWERBE UND HANDWERK,163.50966666666665
2010-01-01,Fachverband Bau,111.3
2010-02-01,Fachverband Bau,111.3
2010-03-01,Fachverband Bau,111.3
2010-04-01,Fachverband Bau,111.3
2010-05-01,Fachverband Bau,113
2010-06-01,Fachverband Bau,113
2010-07-01,Fachverband Bau,113
2010-08-01,Fachverband Bau,113
2010-09-01,Fachverband Bau,113
2010-10-01,Fachverband Bau,113
2010-11-01,Fachverband Bau,113
2010-12-01,Fachverband Bau,113
2011-01-01,Fachverband Bau,113
2011-02-01,Fachverband Bau,113
2011-03-01,Fachverband Bau,113
2011-04-01,Fachverband Bau,113
2011-05-01,Fachverband Bau,116.1
2011-06-01,Fachverband Bau,116.1
2011-07-01,Fachverband Bau,116.1
2011-08-01,Fachverband Bau,116.1
2011-09-01,Fachverband Bau,116.1
2011-10-01,Fachverband Bau,116.1
2011-11-01,Fachverband Bau,116.1
2011-12-01,Fachverband Bau,116.1
2012-01-01,Fachverband Bau,116.1
2012-02-01,Fachverband Bau,116.1
2012-03-01,Fachverband Bau,116.1
2012-04-01,Fachverband Bau,116.1
2012-05-01,Fachverband Bau,120.8
2012-06-01,Fachverband Bau,120.8
2012-07-01,Fachverband Bau,120.8
2012-08-01,Fachverband Bau,120.8
2012-09-01,Fachverband Bau,120.8
2012-10-01,Fachverband Bau,120.8
2012-11-01,Fachverband Bau,120.8
2012-12-01,Fachverband Bau,120.8
2013-01-01,Fachverband Bau,120.8
2013-02-01,Fachverband Bau,120.8
2013-03-01,Fachverband Bau,120.8
2013-04-01,Fachverband Bau,120.8
2013-05-01,Fachverband Bau,124.6
2013-06-01,Fachverband Bau,124.6
2013-07-01,Fachverband Bau,124.6
2013-08-01,Fachverband Bau,124.6
2013-09-01,Fachverband Bau,124.6
2013-10-01,Fachverband Bau,124.6
2013-11-01,Fachverband Bau,124.6
2013-12-01,Fachverband Bau,124.6
2014-01-01,Fachverband Bau,124.6
2014-02-01,Fachverband Bau,124.6
2014-03-01,Fachverband Bau,124.6
2014-04-01,Fachverband Bau,124.6
2014-05-01,Fachverband Bau,127.4
2014-06-01,Fachverband Bau,127.4
2014-07-01,Fachverband Bau,127.4
2014-08-01,Fachverband Bau,127.4
2014-09-01,Fachverband Bau,127.4
2014-10-01,Fachverband Bau,127.4
2014-11-01,Fachverband Bau,127.4
2014-12-01,Fachverband Bau,127.4
2015-01-01,Fachverband Bau,127.4
2015-02-01,Fachverband Bau,127.4
2015-03-01,Fachverband Bau,127.4
2015-04-01,Fachverband Bau,127.4
2015-05-01,Fachverband Bau,130
2015-06-01,Fachverband Bau,130
2015-07-01,Fachverband Bau,130
2015-08-01,Fachverband Bau,130
2015-09-01,Fachverband Bau,130
2015-10-01,Fachverband Bau,130
2015-11-01,Fachverband Bau,130
2015-12-01,Fachverband Bau,130
2016-01-01,Fachverband Bau,130
2016-02-01,Fachverband Bau,130
2016-03-01,Fachverband Bau,130
2016-04-01,Fachverband Bau,130
2016-05-01,Fachverband Bau,131.9
2016-06-01,Fachverband Bau,131.9
2016-07-01,Fachverband Bau,131.9
2016-08-01,Fachverband Bau,131.9
2016-09-01,Fachverband Bau,131.9
2016-10-01,Fachverband Bau,131.9
2016-11-01,Fachverband Bau,131.9
2016-12-01,Fachverband Bau,131.9
2017-01-01,Fachverband Bau,131.923
2017-02-01,Fachverband Bau,131.923
2017-03-01,Fachverband Bau,131.923
2017-04-01,Fachverband Bau,131.923
2017-05-01,Fachverband Bau,133.892
2017-06-01,Fachverband Bau,133.892
2017-07-01,Fachverband Bau,133.892
2017-08-01,Fachverband Bau,133.892
2017-09-01,Fachverband Bau,133.892
2017-10-01,Fachverband Bau,133.892
2017-11-01,Fachverband Bau,133.892
2017-12-01,Fachverband Bau,133.892
2018-01-01,Fachverband Bau,133.892
2018-02-01,Fachverband Bau,133.892
2018-03-01,Fachverband Bau,133.892
2018-04-01,Fachverband Bau,133.892
2018-05-01,Fachverband Bau,137.30493333333334
2018-06-01,Fachverband Bau,137.30493333333334
2018-07-01,Fachverband Bau,137.30493333333334
2018-08-01,Fachverband Bau,137.30493333333334
2018-09-01,Fachverband Bau,137.30493333333334
2018-10-01,Fachverband Bau,137.30493333333334
2018-11-01,Fachverband Bau,137.30493333333334
2018-12-01,Fachverband Bau,137.30493333333334
2019-01-01,Fachverband Bau,137.30493333333334
2019-02-01,Fachverband Bau,137.30493333333334
2019-03-01,Fachverband Bau,137.30493333333334
2019-04-01,Fachverband Bau,137.30493333333334
2019-05-01,Fachverband Bau,141.63673333333335
2019-06-01,Fachverband Bau,141.63673333333335
2019-07-01,Fachverband Bau,141.63673333333335
2019-08-01,Fachverband Bau,141.63673333333335
2019-09-01,Fachverband Bau,141.63673333333335
2019-10-01,Fachverband Bau,141.63673333333335
2019-11-01,Fachverband Bau,141.63673333333335
2019-12-01,Fachverband Bau,141.63673333333335
2020-01-01,Fachverband Bau,141.63673333333335
2020-02-01,Fachverband Bau,141.63673333333335
2020-03-01,Fachverband Bau,141.63673333333335
2020-04-01,Fachverband Bau,141.63673333333335
2020-05-01,Fachverband Bau,145.57473333333334
2020-06-01,Fachverband Bau,145.57473333333334
2020-07-01,Fachverband Bau,145.57473333333334
2020-08-01,Fachverband Bau,145.57473333333334
2020-09-01,Fachverband Bau,145.57473333333334
2020-10-01,Fachverband Bau,145.57473333333334
2020-11-01,Fachverband Bau,145.57473333333334
2020-12-01,Fachverband Bau,145.57473333333334
2021-01-01,Fachverband Bau,145.57473333333334
2021-02-01,Fachverband Bau,145.57473333333334
2021-03-01,Fachverband Bau,145.57473333333334
2021-04-01,Fachverband Bau,145.57473333333334
2021-05-01,Fachverband Bau,148.59386666666668
2021-06-01,Fachverband Bau,148.59386666666668
2021-07-01,Fachverband Bau,148.59386666666668
2021-08-01,Fachverband Bau,148.59386666666668
2021-09-01,Fachverband Bau,148.59386666666668
2021-10-01,Fachverband Bau,148.59386666666668
2021-11-01,Fachverband Bau,148.59386666666668
2021-12-01,Fachverband Bau,148.59386666666668
2022-01-01,Fachverband Bau,148.59386666666668
2022-02-01,Fachverband Bau,148.59386666666668
2022-03-01,Fachverband Bau,148.59386666666668
2022-04-01,Fachverband Bau,148.59386666666668
2022-05-01,Fachverband Bau,154.76340000000002
2022-06-01,Fachverband Bau,154.76340000000002
2022-07-01,Fachverband Bau,154.76340000000002
2022-08-01,Fachverband Bau,154.76340000000002
2022-09-01,Fachverband Bau,154.76340000000002
2022-10-01,Fachverband Bau,154.76340000000002
2022-11-01,Fachverband Bau,154.76340000000002
2022-12-01,Fachverband Bau,154.76340000000002
2023-01-01,Fachverband Bau,154.76340000000002
2023-02-01,Fachverband Bau,154.76340000000002
2023-03-01,Fachverband Bau,154.76340000000002
2023-04-01,Fachverband Bau,154.76340000000002
2023-05-01,Fachverband Bau,169.334
2023-06-01,Fachverband Bau,169.334
2023-07-01,Fachverband Bau,169.334
2023-08-01,Fachverband Bau,169.334
2010-01-01,"Fachverband der Dachdecker, Glaser und Spengler",111
2010-02-01,"Fachverband der Dachdecker, Glaser und Spengler",111
2010-03-01,"Fachverband der Dachdecker, Glaser und Spengler",111
2010-04-01,"Fachverband der Dachdecker, Glaser und Spengler",111
2010-05-01,"Fachverband der Dachdecker, Glaser und Spengler",111.6
2010-06-01,"Fachverband der Dachdecker, Glaser und Spengler",111.6
2010-07-01,"Fachverband der Dachdecker, Glaser und Spengler",111.6
2010-08-01,"Fachverband der Dachdecker, Glaser und Spengler",111.6
2010-09-01,"Fachverband der Dachdecker, Glaser und Spengler",111.6
2010-10-01,"Fachverband der Dachdecker, Glaser und Spengler",111.6
2010-11-01,"Fachverband der Dachdecker, Glaser und Spengler",111.6
2010-12-01,"Fachverband der Dachdecker, Glaser und Spengler",111.6
2011-01-01,"Fachverband der Dachdecker, Glaser und Spengler",113.2
2011-02-01,"Fachverband der Dachdecker, Glaser und Spengler",113.2
2011-03-01,"Fachverband der Dachdecker, Glaser und Spengler",113.2
2011-04-01,"Fachverband der Dachdecker, Glaser und Spengler",113.2
2011-05-01,"Fachverband der Dachdecker, Glaser und Spengler",114.4
2011-06-01,"Fachverband der Dachdecker, Glaser und Spengler",114.4
2011-07-01,"Fachverband der Dachdecker, Glaser und Spengler",114.4
2011-08-01,"Fachverband der Dachdecker, Glaser und Spengler",114.4
2011-09-01,"Fachverband der Dachdecker, Glaser und Spengler",114.4
2011-10-01,"Fachverband der Dachdecker, Glaser und Spengler",114.4
2011-11-01,"Fachverband der Dachdecker, Glaser und Spengler",114.4
2011-12-01,"Fachverband der Dachdecker, Glaser und Spengler",114.4
2012-01-01,"Fachverband der Dachdecker, Glaser und Spengler",117.2
2012-02-01,"Fachverband der Dachdecker, Glaser und Spengler",117.2
2012-03-01,"Fachverband der Dachdecker, Glaser und Spengler",117.2
2012-04-01,"Fachverband der Dachdecker, Glaser und Spengler",117.2
2012-05-01,"Fachverband der Dachdecker, Glaser und Spengler",118.9
2012-06-01,"Fachverband der Dachdecker, Glaser und Spengler",118.9
2012-07-01,"Fachverband der Dachdecker, Glaser und Spengler",118.9
2012-08-01,"Fachverband der Dachdecker, Glaser und Spengler",118.9
2012-09-01,"Fachverband der Dachdecker, Glaser und Spengler",118.9
2012-10-01,"Fachverband der Dachdecker, Glaser und Spengler",118.9
2012-11-01,"Fachverband der Dachdecker, Glaser und Spengler",118.9
2012-12-01,"Fachverband der Dachdecker, Glaser und Spengler",118.9
2013-01-01,"Fachverband der Dachdecker, Glaser und Spengler",121.4
2013-02-01,"Fachverband der Dachdecker, Glaser und Spengler",121.4
2013-03-01,"Fachverband der Dachdecker, Glaser und Spengler",121.4
2013-04-01,"Fachverband der Dachdecker, Glaser und Spengler",121.4
2013-05-01,"Fachverband der Dachdecker, Glaser und Spengler",122.6
2013-06-01,"Fachverband der Dachdecker, Glaser und Spengler",122.6
2013-07-01,"Fachverband der Dachdecker, Glaser und Spengler",122.6
2013-08-01,"Fachverband der Dachdecker, Glaser und Spengler",122.6
2013-09-01,"Fachverband der Dachdecker, Glaser und Spengler",122.6
2013-10-01,"Fachverband der Dachdecker, Glaser und Spengler",122.6
2013-11-01,"Fachverband der Dachdecker, Glaser und Spengler",122.6
2013-12-01,"Fachverband der Dachdecker, Glaser und Spengler",122.6
2014-01-01,"Fachverband der Dachdecker, Glaser und Spengler",124.6
2014-02-01,"Fachverband der Dachdecker, Glaser und Spengler",124.6
2014-03-01,"Fachverband der Dachdecker, Glaser und Spengler",124.6
2014-04-01,"Fachverband der Dachdecker, Glaser und Spengler",124.6
2014-05-01,"Fachverband der Dachdecker, Glaser und Spengler",125.6
2014-06-01,"Fachverband der Dachdecker, Glaser und Spengler",125.6
2014-07-01,"Fachverband der Dachdecker, Glaser und Spengler",125.6
2014-08-01,"Fachverband der Dachdecker, Glaser und Spengler",125.6
2014-09-01,"Fachverband der Dachdecker, Glaser und Spengler",125.6
2014-10-01,"Fachverband der Dachdecker, Glaser und Spengler",125.6
2014-11-01,"Fachverband der Dachdecker, Glaser und Spengler",125.6
2014-12-01,"Fachverband der Dachdecker, Glaser und Spengler",125.6
2015-01-01,"Fachverband der Dachdecker, Glaser und Spengler",127.3
2015-02-01,"Fachverband der Dachdecker, Glaser und Spengler",127.3
2015-03-01,"Fachverband der Dachdecker, Glaser und Spengler",127.3
2015-04-01,"Fachverband der Dachdecker, Glaser und Spengler",127.3
2015-05-01,"Fachverband der Dachdecker, Glaser und Spengler",128.2
2015-06-01,"Fachverband der Dachdecker, Glaser und Spengler",128.2
2015-07-01,"Fachverband der Dachdecker, Glaser und Spengler",128.2
2015-08-01,"Fachverband der Dachdecker, Glaser und Spengler",128.2
2015-09-01,"Fachverband der Dachdecker, Glaser und Spengler",128.2
2015-10-01,"Fachverband der Dachdecker, Glaser und Spengler",128.2
2015-11-01,"Fachverband der Dachdecker, Glaser und Spengler",128.2
2015-12-01,"Fachverband der Dachdecker, Glaser und Spengler",128.2
2016-01-01,"Fachverband der Dachdecker, Glaser und Spengler",129.3
2016-02-01,"Fachverband der Dachdecker, Glaser und Spengler",129.3
2016-03-01,"Fachverband der Dachdecker, Glaser und Spengler",129.3
2016-04-01,"Fachverband der Dachdecker, Glaser und Spengler",129.3
2016-05-01,"Fachverband der Dachdecker, Glaser und Spengler",130
2016-06-01,"Fachverband der Dachdecker, Glaser und Spengler",130
2016-07-01,"Fachverband der Dachdecker, Glaser und Spengler",130
2016-08-01,"Fachverband der Dachdecker, Glaser und Spengler",130
